id,created_at,date,time,username,name,tweet,language,hashtags
1517716413657808896,2022-04-23 04:06:05+00:00,2022-04-23,04:06:05,sintaprice,sintaprice,Thank you for great customer service at @hbfhealth Just bought a new policy as a family. But why don’t we get free Quoka plushy? #prettyplease,en,['prettyplease']
1517493151946067968,2022-04-22 13:18:55+00:00,2022-04-22,13:18:55,dalegobbey1,dalegobbey,@hbfhealth Ok,und,[]
1517493113018732545,2022-04-22 13:18:46+00:00,2022-04-22,13:18:46,dalegobbey1,dalegobbey,@hbfhealth Nice,en,[]
1516992119084400641,2022-04-21 04:08:00+00:00,2022-04-21,04:08:00,hbfhealth,HBF,"@DavidEl52539294 Hi David, thank you for reaching out. We can certainly understand your concerns regarding the recent rate increase and would love to look in to this for you to see how we can help reduce your premiums. Please contact our team on 133 423 and we can assist you further!-Caitlin🌼",en,[]
1516954774884986880,2022-04-21 01:39:36+00:00,2022-04-21,01:39:36,michellesndz,Michellers,How cute is this ad! Adorable! Clever lyrics! #lyrics  https://t.co/axMLuo9QFR @hbfhealth #hbfhealth #hpf #cuteads #animated #tvadvertising @ForeignerMusic,en,"['lyrics', 'hbfhealth', 'hpf', 'cuteads', 'animated', 'tvadvertising']"
1516824467313287168,2022-04-20 17:01:48+00:00,2022-04-20,17:01:48,davidel52539294,David Elliott,@hbfhealth  I'm a pensioner and my health cover cost as increased by 12% with no change in cover. You gave a rebate last year and take it back this year. Your average increases around 4% when other health funds are holding off. My question is why are the  elderly hit hard again.,en,[]
1516290757295976453,2022-04-19 05:41:02+00:00,2022-04-19,05:41:02,jtb_30,Jo 🦁💚💛🇦🇺,"@SecularGovt @hbfhealth Seems to me you get one limit that covers all services, to use on what you need when you need. Use less dental? You have more left for physio. Instead of separate limits for each service.",en,[]
1516231493026459651,2022-04-19 01:45:32+00:00,2022-04-19,01:45:32,thomaslew9,thomas lew,@hbfhealth Iwish I can stretch my DOLLAR AS FAR AS SHE CAN,en,[]
1516057136920350727,2022-04-18 14:12:43+00:00,2022-04-18,14:12:43,seculargovt,Your TV Lies Non-Stop.News.Gov.au,@hbfhealth What about less than expected flexible cover?,en,[]
1516004306041851904,2022-04-18 10:42:47+00:00,2022-04-18,10:42:47,mjmjlindoart,MJ Lindo,@MindblowonNFT @IsekaiMeta @uzpirksteniite @AynRandInst @hbfhealth,und,[]
1515738726495793152,2022-04-17 17:07:28+00:00,2022-04-17,17:07:28,bagher7015,bagher7015,@DOGB_Token @hbfhealth @ZerkaaHD @jfreewright #AVAX #LINK #MINA,und,"['avax', 'link', 'mina']"
1515192632942956544,2022-04-16 04:57:29+00:00,2022-04-16,04:57:29,freocookster,Freocookster ⚓,@thedockerdave @hbfhealth Love it!,en,[]
1515191238164590592,2022-04-16 04:51:56+00:00,2022-04-16,04:51:56,thedockerdave,дав фалон - К черту путина,@freocookster @hbfhealth Haha.. was actually listening to a yacht rock playlist on the way to the Claremont game yesterday. It’s a guilty pleasure,en,[]
